timestamp_ms,session_id,species,stress_state,voltage_mv,species_label,stress_label
0,tomato_healthy_run3,tomato,healthy,0.6832411,1,0
116,tomato_healthy_run3,tomato,healthy,-0.18101853,1,0
232,tomato_healthy_run3,tomato,healthy,0.5439736,1,0
348,tomato_healthy_run3,tomato,healthy,0.16840957,1,0
465,tomato_healthy_run3,tomato,healthy,0.0817792,1,0
581,tomato_healthy_run3,tomato,healthy,0.28821847,1,0
697,tomato_healthy_run3,tomato,healthy,0.16382079,1,0
813,tomato_healthy_run3,tomato,healthy,0.08459411,1,0
930,tomato_healthy_run3,tomato,healthy,-0.027903834,1,0
1046,tomato_healthy_run3,tomato,healthy,0.37033466,1,0
1162,tomato_healthy_run3,tomato,healthy,0.42295545,1,0
1279,tomato_healthy_run3,tomato,healthy,0.34973884,1,0
1395,tomato_healthy_run3,tomato,healthy,0.15472591,1,0
1511,tomato_healthy_run3,tomato,healthy,0.27311754,1,0
1627,tomato_healthy_run3,tomato,healthy,0.20281267,1,0
1744,tomato_healthy_run3,tomato,healthy,0.20106614,1,0
1860,tomato_healthy_run3,tomato,healthy,0.41907015,1,0
1976,tomato_healthy_run3,tomato,healthy,0.41656932,1,0
2093,tomato_healthy_run3,tomato,healthy,0.44946823,1,0
2209,tomato_healthy_run3,tomato,healthy,0.48284253,1,0
2325,tomato_healthy_run3,tomato,healthy,0.6023187,1,0
2441,tomato_healthy_run3,tomato,healthy,0.5854363,1,0
2558,tomato_healthy_run3,tomato,healthy,0.29854202,1,0
2674,tomato_healthy_run3,tomato,healthy,0.010464451,1,0
2790,tomato_healthy_run3,tomato,healthy,0.5994526,1,0
2906,tomato_healthy_run3,tomato,healthy,0.373721,1,0
3023,tomato_healthy_run3,tomato,healthy,0.26270413,1,0
3139,tomato_healthy_run3,tomato,healthy,0.30588096,1,0
3255,tomato_healthy_run3,tomato,healthy,0.57195216,1,0
3372,tomato_healthy_run3,tomato,healthy,0.10987179,1,0
3488,tomato_healthy_run3,tomato,healthy,0.4298677,1,0
3604,tomato_healthy_run3,tomato,healthy,0.2603169,1,0
3720,tomato_healthy_run3,tomato,healthy,0.3221317,1,0
3837,tomato_healthy_run3,tomato,healthy,0.3022913,1,0
3953,tomato_healthy_run3,tomato,healthy,0.38105103,1,0
