timestamp_ms,session_id,species,stress_state,voltage_mv,species_label,stress_label
0,tomato_heat_stress_run1,tomato,heat_stress,1.1281002,1,2
116,tomato_heat_stress_run1,tomato,heat_stress,-0.052354284,1,2
232,tomato_heat_stress_run1,tomato,heat_stress,1.9523361,1,2
348,tomato_heat_stress_run1,tomato,heat_stress,1.969052,1,2
465,tomato_heat_stress_run1,tomato,heat_stress,0.9205972,1,2
581,tomato_heat_stress_run1,tomato,heat_stress,0.9866652,1,2
697,tomato_heat_stress_run1,tomato,heat_stress,2.1839674,1,2
813,tomato_heat_stress_run1,tomato,heat_stress,-0.38488728,1,2
930,tomato_heat_stress_run1,tomato,heat_stress,1.0027759,1,2
1046,tomato_heat_stress_run1,tomato,heat_stress,-0.6493846,1,2
1162,tomato_heat_stress_run1,tomato,heat_stress,0.6903928,1,2
1279,tomato_heat_stress_run1,tomato,heat_stress,1.6331158,1,2
1395,tomato_heat_stress_run1,tomato,heat_stress,0.9889695,1,2
1511,tomato_heat_stress_run1,tomato,heat_stress,0.9562414,1,2
1627,tomato_heat_stress_run1,tomato,heat_stress,0.33625942,1,2
1744,tomato_heat_stress_run1,tomato,heat_stress,1.6445867,1,2
1860,tomato_heat_stress_run1,tomato,heat_stress,1.8525299,1,2
1976,tomato_heat_stress_run1,tomato,heat_stress,0.17572828,1,2
2093,tomato_heat_stress_run1,tomato,heat_stress,0.0008990743,1,2
2209,tomato_heat_stress_run1,tomato,heat_stress,0.20356435,1,2
2325,tomato_heat_stress_run1,tomato,heat_stress,0.5654918,1,2
2441,tomato_heat_stress_run1,tomato,heat_stress,1.3728821,1,2
2558,tomato_heat_stress_run1,tomato,heat_stress,1.0799453,1,2
2674,tomato_heat_stress_run1,tomato,heat_stress,1.5243102,1,2
2790,tomato_heat_stress_run1,tomato,heat_stress,1.5756202,1,2
2906,tomato_heat_stress_run1,tomato,heat_stress,0.8509287,1,2
3023,tomato_heat_stress_run1,tomato,heat_stress,1.2762592,1,2
3139,tomato_heat_stress_run1,tomato,heat_stress,1.2714717,1,2
3255,tomato_heat_stress_run1,tomato,heat_stress,1.4431679,1,2
3372,tomato_heat_stress_run1,tomato,heat_stress,1.212696,1,2
3488,tomato_heat_stress_run1,tomato,heat_stress,0.87839043,1,2
3604,tomato_heat_stress_run1,tomato,heat_stress,1.5166651,1,2
3720,tomato_heat_stress_run1,tomato,heat_stress,1.7627978,1,2
3837,tomato_heat_stress_run1,tomato,heat_stress,0.6558307,1,2
3953,tomato_heat_stress_run1,tomato,heat_stress,0.41959837,1,2
4069,tomato_heat_stress_run1,tomato,heat_stress,1.2734724,1,2
4186,tomato_heat_stress_run1,tomato,heat_stress,1.6071568,1,2
4302,tomato_heat_stress_run1,tomato,heat_stress,0.991622,1,2
4418,tomato_heat_stress_run1,tomato,heat_stress,1.3023043,1,2
4534,tomato_heat_stress_run1,tomato,heat_stress,1.7844694,1,2
4651,tomato_heat_stress_run1,tomato,heat_stress,1.5525252,1,2
4767,tomato_heat_stress_run1,tomato,heat_stress,0.67062926,1,2
4883,tomato_heat_stress_run1,tomato,heat_stress,1.90818,1,2
5000,tomato_heat_stress_run1,tomato,heat_stress,0.62823445,1,2
5116,tomato_heat_stress_run1,tomato,heat_stress,1.5665661,1,2
5232,tomato_heat_stress_run1,tomato,heat_stress,0.8133704,1,2
5348,tomato_heat_stress_run1,tomato,heat_stress,1.0574368,1,2
5465,tomato_heat_stress_run1,tomato,heat_stress,0.2654201,1,2
5581,tomato_heat_stress_run1,tomato,heat_stress,1.3447154,1,2
5697,tomato_heat_stress_run1,tomato,heat_stress,0.779581,1,2
5813,tomato_heat_stress_run1,tomato,heat_stress,1.634992,1,2
5930,tomato_heat_stress_run1,tomato,heat_stress,1.7012223,1,2
6046,tomato_heat_stress_run1,tomato,heat_stress,2.252642,1,2
6162,tomato_heat_stress_run1,tomato,heat_stress,0.41004428,1,2
6279,tomato_heat_stress_run1,tomato,heat_stress,1.2892638,1,2
6395,tomato_heat_stress_run1,tomato,heat_stress,2.068267,1,2
6511,tomato_heat_stress_run1,tomato,heat_stress,1.2087423,1,2
6627,tomato_heat_stress_run1,tomato,heat_stress,-0.032392986,1,2
6744,tomato_heat_stress_run1,tomato,heat_stress,-0.09031461,1,2
6860,tomato_heat_stress_run1,tomato,heat_stress,0.812785,1,2
6976,tomato_heat_stress_run1,tomato,heat_stress,1.6032033,1,2
7093,tomato_heat_stress_run1,tomato,heat_stress,1.4854014,1,2
7209,tomato_heat_stress_run1,tomato,heat_stress,1.7923307,1,2
7325,tomato_heat_stress_run1,tomato,heat_stress,0.6250375,1,2
7441,tomato_heat_stress_run1,tomato,heat_stress,-0.06533693,1,2
7558,tomato_heat_stress_run1,tomato,heat_stress,1.549373,1,2
7674,tomato_heat_stress_run1,tomato,heat_stress,1.1184807,1,2
7790,tomato_heat_stress_run1,tomato,heat_stress,0.8011473,1,2
7906,tomato_heat_stress_run1,tomato,heat_stress,1.0189805,1,2
8023,tomato_heat_stress_run1,tomato,heat_stress,2.2378929,1,2
8139,tomato_heat_stress_run1,tomato,heat_stress,1.0139002,1,2
8255,tomato_heat_stress_run1,tomato,heat_stress,2.1582778,1,2
8372,tomato_heat_stress_run1,tomato,heat_stress,1.8001283,1,2
8488,tomato_heat_stress_run1,tomato,heat_stress,1.5276811,1,2
8604,tomato_heat_stress_run1,tomato,heat_stress,1.0063486,1,2
8720,tomato_heat_stress_run1,tomato,heat_stress,2.0533736,1,2
8837,tomato_heat_stress_run1,tomato,heat_stress,1.3326635,1,2
8953,tomato_heat_stress_run1,tomato,heat_stress,0.4577882,1,2
9069,tomato_heat_stress_run1,tomato,heat_stress,0.58005965,1,2
9186,tomato_heat_stress_run1,tomato,heat_stress,1.1027745,1,2
9302,tomato_heat_stress_run1,tomato,heat_stress,0.7401259,1,2
9418,tomato_heat_stress_run1,tomato,heat_stress,0.6183139,1,2
9534,tomato_heat_stress_run1,tomato,heat_stress,0.60205483,1,2
9651,tomato_heat_stress_run1,tomato,heat_stress,1.0035557,1,2
9767,tomato_heat_stress_run1,tomato,heat_stress,0.7614694,1,2
9883,tomato_heat_stress_run1,tomato,heat_stress,1.2621366,1,2
10000,tomato_heat_stress_run1,tomato,heat_stress,0.98104334,1,2
10116,tomato_heat_stress_run1,tomato,heat_stress,1.0563836,1,2
10232,tomato_heat_stress_run1,tomato,heat_stress,0.7990945,1,2
10348,tomato_heat_stress_run1,tomato,heat_stress,0.8379794,1,2
10465,tomato_heat_stress_run1,tomato,heat_stress,1.9652319,1,2
10581,tomato_heat_stress_run1,tomato,heat_stress,0.56186277,1,2
10697,tomato_heat_stress_run1,tomato,heat_stress,0.96081364,1,2
10813,tomato_heat_stress_run1,tomato,heat_stress,2.8255446,1,2
